request_id,sender_name,phone,pickup_city,pickup_lat,pickup_lon,dropoff_city,dropoff_lat,dropoff_lon,requested_date,required_capacity,crop_type
REQ0001,Ahmed Chukwu,09082498004,Abuja,9.0765,7.3986,Onitsha,6.15,6.78,2026-02-16,10,Beans
REQ0002,Uche Eze,08118620650,Onitsha,6.15,6.78,Kano,12.0022,8.592,2026-02-19,20,Yam
REQ0003,Fatima Okonkwo,08166390708,Kaduna,10.5105,7.4165,Kano,12.0022,8.592,2026-02-19,30,Rice
REQ0004,Samuel Okonkwo,09050079111,Ilorin,8.4799,4.5418,Ibadan,7.3775,3.947,2026-02-19,20,Tomatoes
REQ0005,Samuel Abiola,09068496914,Kaduna,10.5105,7.4165,Onitsha,6.15,6.78,2026-02-19,5,Cassava
REQ0006,Uche Eze,07027129912,Port Harcourt,4.8156,7.0498,Kano,12.0022,8.592,2026-02-20,30,Rice
REQ0007,Aisha Okafor,07028213276,Ibadan,7.3775,3.947,Lagos,6.5244,3.3792,2026-02-19,10,Rice
REQ0008,Ifeanyi Abiola,07053868501,Abuja,9.0765,7.3986,Kano,12.0022,8.592,2026-02-18,20,Sorghum
REQ0009,Aisha Balogun,08082399599,Ibadan,7.3775,3.947,Abuja,9.0765,7.3986,2026-02-16,15,Millet
REQ0010,Bala Okonkwo,08136757737,Enugu,6.4402,7.4943,Lagos,6.5244,3.3792,2026-02-16,30,Beans
REQ0011,Samuel Okafor,08085694715,Onitsha,6.15,6.78,Awka,6.21,7.07,2026-02-17,20,Sorghum
REQ0012,Amaka Uba,08031980274,Port Harcourt,4.8156,7.0498,Awka,6.21,7.07,2026-02-18,5,Onions
REQ0013,Amaka Okafor,07063238057,Lagos,6.5244,3.3792,Port Harcourt,4.8156,7.0498,2026-02-17,5,Onions
REQ0014,Uche Adeyemi,09090585882,Onitsha,6.15,6.78,Enugu,6.4402,7.4943,2026-02-16,30,Rice
REQ0015,Fatima Okafor,09019255216,Port Harcourt,4.8156,7.0498,Ilorin,8.4799,4.5418,2026-02-20,45,Yam
REQ0016,Samuel Ibrahim,07058612055,Lagos,6.5244,3.3792,Kano,12.0022,8.592,2026-02-19,45,Beans
REQ0017,Uche Adeniyi,09092666356,Ibadan,7.3775,3.947,Awka,6.21,7.07,2026-02-20,20,Potatoes
